
catalog	tag	formula	Comp.	logN|EM	f	delta	Tex|Te*	f	delta	VLSR_	f	delta	FWHM	f	delta	S.Size	f	delta	Cont.	Purge	Filter	Noise	AutofitNoise	UpperLimits	AutofitTau	Autofit	Simulate	IsUseAllSpecies	ChangeSimulate	UpperLimitsTex	TMB	NameOrigin	ApplyAllSpecies	ApplyOnlyCheck	qlogN	delta_qlogN	nLTE	delta_nLTE	nqLTE	delta_nqLTE	Tk	delta_TK	Eladder	TypeSimulate	
cdms	64502	SO2,v=0	1	14.328946	false	13.039453	75.18663	true	-1.0	0.98470265	false	0.06479497	2.5715466	false	0.15222085	0.0	true	-1.0	false	0.0	0.0	6.370000191964209E-4	0.006459545	false	false	true	true	true	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	64502	SO2,v=0	2	14.403293	false	13.128365	75.18663	false	6.539635	2.6905718	false	0.022796236	1.2360767	false	0.05337411	0.0	true	-1.0	false	0.0	0.0	6.370000191964209E-4	0.007981621	false	false	true	true	true	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	64502	SO2,v=0	3	13.769328	false	12.949353	75.18663	true	-1.0	3.9177387	false	0.06849702	0.9223152	false	0.1610056	0.0	true	-1.0	false	0.0	0.0	6.370000191964209E-4	0.008783043	false	false	true	true	true	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	44505	SiO,v=0-10	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	60506	SiS,v=0-20	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	32504	CH3OH,vt=0-2	1	15.074783	false	14.336383	52.39159	false	6.0175085	0.31618947	false	0.09459202	1.5043848	false	0.222491	0.0	true	-1.0	false	0.0	0.0	6.370000191964209E-4	0.0023191613	false	false	true	true	true	false	false	true	 	true	true	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	32504	CH3OH,vt=0-2	2	15.267781	false	14.4166355	40.291298	false	2.4489565	2.6513774	false	0.10589039	1.5745194	false	0.24846736	0.0	true	-1.0	false	0.0	0.0	6.370000191964209E-4	0.0027558214	false	false	true	true	true	false	false	true	 	true	true	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	32504	CH3OH,vt=0-2	3	14.518103	false	-10.0	39.06151	false	-10.0	3.9217823	false	-10.0	1.3875204	false	-10.0	0.0	true	-10.0	false	0.0	0.0	6.370000191964209E-4	0.0	true	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
jpl	60003	CH3OCHO	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
jpl	33004	CH2DOH	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	51501	HC3N,v=0	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	46514	CH3OCH3,v=0	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	47503	t-HC-13-OOH	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	46524	C2H5OH,v=0	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	34506	CHD2OH,vt=0	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
cdms	40501	SiC,v=0	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
jpl	54007	HCCCHO	1	8.0	false	NaN	42.0	false	NaN	3.0	false	NaN	1.9643441	false	NaN	0.0	true	NaN	false	0.0	0.0	6.37E-4	0.0	false	false	false	true	false	false	false	true	 	false	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	
